uid,title_fr,description_fr,longdescription_fr,location_city,location_department,location_postalcode,firstdate_begin,lastdate_end,text_to_embed
77900724,Visite guidée de la ferme de quartier de la Salamandre,Découvrez la ferme de quartier de la Salamandre,"<p>Visite guidée de la ferme de quartier de la Salamandre de 15h à 16h, suivie d'un atelier confection de bouquet de fleurs fraiches, de 16h à 17h. La ferme de quartier de la Salamandre se situe sur les toits des résidences de Paris Habitat au Square de la Salamandre, Paris 20e.<br>L'association Veni Verdi entretien les toitures depuis 2021 et y fait pousser légumes de saison, fleurs et petits fruits à destination des habitants des résidences et du quartier.</p>",Paris,Paris,75020,2025-07-26T13:00:00+00:00,2025-07-26T15:00:00+00:00,"Titre: Visite guidée de la ferme de quartier de la Salamandre
Lieu: Paris (Paris)
Date: du 2025-07-26T13:00:00+00:00 au 2025-07-26T15:00:00+00:00
Description: Visite guidée de la ferme de quartier de la Salamandre de 15h à 16h, suivie d'un atelier confection de bouquet de fleurs fraiches, de 16h à 17h. La ferme de quartier de la Salamandre se situe sur les toits des résidences de Paris Habitat au Square de la Salamandre, Paris 20e.
L'association Veni Verdi entretien les toitures depuis 2021 et y fait pousser légumes de saison, fleurs et petits fruits à destination des habitants des résidences et du quartier."
88687930,Visites guidées de la place Vendôme,Visites guidées de la Place Vendôme,"<p><strong>Le Comité Vendôme vous invite à découvrir l’histoire singulière de la place Vendôme.</strong></p>
<p>Conçue en 1699 par l’architecte Jules Hardouin-Mansart pour le roi Louis XIV, cette place royale parisienne mondialement célèbre incarne depuis son origine, le pouvoir, le luxe et le raffinement français.<br>Désireux de partager cette histoire avec un large public, le Comité Vendôme participe pour la première fois aux Journées européennes du patrimoine et propose plusieurs visites-guidées exclusives organisées avec le concours du GrandPalaisRmn.<br>Dédiées à des petits groupes de 15 personnes, ces visites dureront 45 minutes et se dérouleront en extérieur, au travers d’un petit circuit parcourant la place Vendôme et quelques rues alentour.<br>Détail des horaires proposés dans la rubrique ""date"" / ""voir toutes les dates"" ci-dessus.</p>
<p><strong>Toutes nos visites sont désormais complètes.</strong></p>
<p><strong>Le Comité Vendôme</strong><br>Créé en 1936 pour fédérer les grands joailliers et les orfèvres de la finance installés au cœur de Paris, le Comité Vendôme est une association qui a pour mission de préserver « le supplément d’âme de la place Vendôme » et veille sur le rayonnement de cette dernière dans le monde entier.<br>Le Comité Vendôme compte actuellement 85 membres et 6 membres associés qui sont des institutions culturelles ou muséales telles que le GrandPalaisRmn, le Musée des Arts Décoratifs, l’Orangerie, l’Hôtel de la Marine, le Jeu de Paume et le Ministère de la Justice.</p>",Paris,Paris,75001,2025-09-20T08:00:00+00:00,2025-09-21T15:15:00+00:00,"Titre: Visites guidées de la place Vendôme
Lieu: Paris (Paris)
Date: du 2025-09-20T08:00:00+00:00 au 2025-09-21T15:15:00+00:00
Description: <strong>Le Comité Vendôme vous invite à découvrir l’histoire singulière de la place Vendôme.</strong>
Conçue en 1699 par l’architecte Jules Hardouin-Mansart pour le roi Louis XIV, cette place royale parisienne mondialement célèbre incarne depuis son origine, le pouvoir, le luxe et le raffinement français.
Désireux de partager cette histoire avec un large public, le Comité Vendôme participe pour la première fois aux Journées européennes du patrimoine et propose plusieurs visites-guidées exclusives organisées avec le concours du GrandPalaisRmn.
Dédiées à des petits groupes de 15 personnes, ces visites dureront 45 minutes et se dérouleront en extérieur, au travers d’un petit circuit parcourant la place Vendôme et quelques rues alentour.
Détail des horaires proposés dans la rubrique ""date"" / ""voir toutes les dates"" ci-dessus.
<strong>Toutes nos visites sont désormais complètes.</strong>
<strong>Le Comité Vendôme</strong>
Créé en 1936 pour fédérer les grands joailliers et les orfèvres de la finance installés au cœur de Paris, le Comité Vendôme est une association qui a pour mission de préserver « le supplément d’âme de la place Vendôme » et veille sur le rayonnement de cette dernière dans le monde entier.
Le Comité Vendôme compte actuellement 85 membres et 6 membres associés qui sont des institutions culturelles ou muséales telles que le GrandPalaisRmn, le Musée des Arts Décoratifs, l’Orangerie, l’Hôtel de la Marine, le Jeu de Paume et le Ministère de la Justice."
77648112,Complet - Visite guidée de la Résidence de l'ambassadeur de Belgique,"À l'occasion de l'édition 2025 des Journées européennes du patrimoine, la Résidence de l'ambassadeur du Belgique en France ouvre pour la première fois ses portes. Propriété de l'État belge depuis de …","<p>À l'occasion de l'édition 2025 des Journées européennes du patrimoine, la Résidence de l'ambassadeur du Belgique en France ouvre pour la première fois ses portes. Propriété de l'État belge depuis 1935, l'hôtel de La Marck est un exemple de l'architecture des 18e et 19e siècles.<br>À travers une visite guidée d'environ 30 minutes dans les salons d'apparat, les visiteurs pourront découvrir l'architecture de ce lieu emblématique de la vie parisienne, ainsi que des oeuvres d'art contemporain. Un parcours qui mêle histoire du lieu et découverte de l'univers diplomatique.</p>",Paris,Paris,75008,2025-09-20T08:00:00+00:00,2025-09-20T15:00:00+00:00,"Titre: Complet - Visite guidée de la Résidence de l'ambassadeur de Belgique
Lieu: Paris (Paris)
Date: du 2025-09-20T08:00:00+00:00 au 2025-09-20T15:00:00+00:00
Description: À l'occasion de l'édition 2025 des Journées européennes du patrimoine, la Résidence de l'ambassadeur du Belgique en France ouvre pour la première fois ses portes. Propriété de l'État belge depuis 1935, l'hôtel de La Marck est un exemple de l'architecture des 18e et 19e siècles.
À travers une visite guidée d'environ 30 minutes dans les salons d'apparat, les visiteurs pourront découvrir l'architecture de ce lieu emblématique de la vie parisienne, ainsi que des oeuvres d'art contemporain. Un parcours qui mêle histoire du lieu et découverte de l'univers diplomatique."
90446811,Focus Art déco et architecture d'un bâtiment iconique des années 30,"Conférence ""Focus Art déco et architecture d'un bâtiment iconique des années 30""","<p><strong>Depuis les quais de la Seine, on admire sa silhouette élancée, semblable à la proue d’un navire, à l’intersection de trois rues du 6e arrondissement de Paris.</strong> Ce bâtiment, dont la façade est presque entièrement vitrée, est une icône de l’architecture des années 1930. Conçu pour offrir une lumière idéale aux ateliers des étudiants en architecture et en arts, il abrite aujourd’hui l’annexe de l’École nationale supérieure d’architecture Paris-Malaquais – PSL, connue sous le nom de « bâtiment Callot ».<br><strong>&gt; Grimpez jusqu’au 5e étage pour admirer son architecture remarquable et la superbe vue qu’il offre sur Paris !</strong> Œuvre inaugurée en 1931 de l’architecte Roger-Henri Expert, auquel on doit aussi l’aménagement du paquebot Normandie, ce bâtiment de 7 niveaux est un fleuron de l’architecture parisienne de l’entre-deux-guerres.<br><strong>&gt; Au cours de la journée l’association Paris Art Deco Society propose plusieurs rendez-vous de médiation :</strong><br>• 11h : l'architecture du bâtiment Jacques Callot, conçu par l'architecte Roger-Henri Expert (20 mn)<br>• 14h : l'architecture du bâtiment Jacques Callot, conçu par l'architecte Roger-Henri Expert (20 mn)<br>• 15h30 : l'exposition des Arts déco de 1925 (1h30)<br><strong>&gt; Au rez-de-chaussée du bâtiment vous pourrez également découvrir l'exposition ""Abrume - sur les traces des cabanes libres"" dans la galerie d’architecture de l’école (voir la fiche dédiée).</strong></p>
<p>👉 1 rue Jacques Callot : ouvert de 10h à 18h le samedi 20 septembre uniquement<br>✨ Accès libre et gratuit, sans réservation et dans la limite des places disponibles<br>👉 Voir aussi les activités de l'école au 14 rue Bonaparte de 10h30 à 17h30 le samedi 20 septembre : visite libre du site et activité dessin avec les élèves architectes</p>",Paris,Paris,75006,2025-09-20T09:00:00+00:00,2025-09-20T15:00:00+00:00,"Titre: Focus Art déco et architecture d'un bâtiment iconique des années 30
Lieu: Paris (Paris)
Date: du 2025-09-20T09:00:00+00:00 au 2025-09-20T15:00:00+00:00
Description: <strong>Depuis les quais de la Seine, on admire sa silhouette élancée, semblable à la proue d’un navire, à l’intersection de trois rues du 6e arrondissement de Paris.</strong> Ce bâtiment, dont la façade est presque entièrement vitrée, est une icône de l’architecture des années 1930. Conçu pour offrir une lumière idéale aux ateliers des étudiants en architecture et en arts, il abrite aujourd’hui l’annexe de l’École nationale supérieure d’architecture Paris-Malaquais – PSL, connue sous le nom de « bâtiment Callot ».
<strong>&gt; Grimpez jusqu’au 5e étage pour admirer son architecture remarquable et la superbe vue qu’il offre sur Paris !</strong> Œuvre inaugurée en 1931 de l’architecte Roger-Henri Expert, auquel on doit aussi l’aménagement du paquebot Normandie, ce bâtiment de 7 niveaux est un fleuron de l’architecture parisienne de l’entre-deux-guerres.
<strong>&gt; Au cours de la journée l’association Paris Art Deco Society propose plusieurs rendez-vous de médiation :</strong>
• 11h : l'architecture du bâtiment Jacques Callot, conçu par l'architecte Roger-Henri Expert (20 mn)
• 14h : l'architecture du bâtiment Jacques Callot, conçu par l'architecte Roger-Henri Expert (20 mn)
• 15h30 : l'exposition des Arts déco de 1925 (1h30)
<strong>&gt; Au rez-de-chaussée du bâtiment vous pourrez également découvrir l'exposition ""Abrume - sur les traces des cabanes libres"" dans la galerie d’architecture de l’école (voir la fiche dédiée).</strong>
👉 1 rue Jacques Callot : ouvert de 10h à 18h le samedi 20 septembre uniquement
✨ Accès libre et gratuit, sans réservation et dans la limite des places disponibles
👉 Voir aussi les activités de l'école au 14 rue Bonaparte de 10h30 à 17h30 le samedi 20 septembre : visite libre du site et activité dessin avec les élèves architectes"
26910453,"Trois ateliers-démo : deux spécialités ""Peinture"" et ""Arts graphiques et livre"", et ""numérisation"" en partenariat avec la plateforme Plemo3D","Atelier-démonstration en peinture, arts graphiques et livre, numérisation","<p>• Atelier spécialité « Peinture »<br>Enseignée au département des restaurateurs. Une démonstration des exercices de reconstitution des techniques anciennes, notamment de la peinture des primitifs flamands et italiens, sera proposée, avec la mise en œuvre de liant à l’œuf et le broyage de pigments, ainsi que la réalisation des décors à la feuille d’or.<br>• Atelier spécialité « Arts graphiques et livre »<br>Pour présenter la spécialité « Arts graphiques et livre », des élèves proposeront des exercices de reconstitution des techniques anciennes, notamment la réalisation de copies d’enluminure. Le public découvrira les outils et matériaux de la conservation-restauration nécessaires au dépoussiérage et à la consolidation, il pourra ainsi manipuler des échantillons de papier japonais et des brosses, et bénéficiera d’une démonstration de gommage sur un objet pédagogique, d’un livre en cours de restauration et des pastiches.<br>• L’atelier de numérisation - en partenariat avec la plateforme Plemo3D<br>Le laboratoire de recherche de l’Inp, représenté par son ingénieure chargée de l’imagerie scientifique Chloé Bernard, et la plateforme Plemo3D, co-animeront un atelier dédié à la numérisation d’objet du patrimoine en vue de leur restauration. Cet atelier, destiné aux enfants à partir de 7 ans, permettra de restituer et de manipuler virtuellement un objet du patrimoine, en réalisant son relevé numérique 3D à l’aide d’un scanner surfacique.</p>",Paris,Paris,75001,2025-09-20T09:00:00+00:00,2025-09-20T16:00:00+00:00,"Titre: Trois ateliers-démo : deux spécialités ""Peinture"" et ""Arts graphiques et livre"", et ""numérisation"" en partenariat avec la plateforme Plemo3D
Lieu: Paris (Paris)
Date: du 2025-09-20T09:00:00+00:00 au 2025-09-20T16:00:00+00:00
Description: • Atelier spécialité « Peinture »
Enseignée au département des restaurateurs. Une démonstration des exercices de reconstitution des techniques anciennes, notamment de la peinture des primitifs flamands et italiens, sera proposée, avec la mise en œuvre de liant à l’œuf et le broyage de pigments, ainsi que la réalisation des décors à la feuille d’or.
• Atelier spécialité « Arts graphiques et livre »
Pour présenter la spécialité « Arts graphiques et livre », des élèves proposeront des exercices de reconstitution des techniques anciennes, notamment la réalisation de copies d’enluminure. Le public découvrira les outils et matériaux de la conservation-restauration nécessaires au dépoussiérage et à la consolidation, il pourra ainsi manipuler des échantillons de papier japonais et des brosses, et bénéficiera d’une démonstration de gommage sur un objet pédagogique, d’un livre en cours de restauration et des pastiches.
• L’atelier de numérisation - en partenariat avec la plateforme Plemo3D
Le laboratoire de recherche de l’Inp, représenté par son ingénieure chargée de l’imagerie scientifique Chloé Bernard, et la plateforme Plemo3D, co-animeront un atelier dédié à la numérisation d’objet du patrimoine en vue de leur restauration. Cet atelier, destiné aux enfants à partir de 7 ans, permettra de restituer et de manipuler virtuellement un objet du patrimoine, en réalisant son relevé numérique 3D à l’aide d’un scanner surfacique."
75809825,Visite guidée des Grands Dépôts des Archives nationales pour le public famille (enfants de 7 à 15 ans accompagnés de leurs parents),Visite commentée,<p>Découverte des galeries prestigieuses des Grands Dépôts des Archives nationales adaptée aux plus jeunes accompagnés de leurs parents.</p>,Paris,Paris,75003,2025-09-21T08:30:00+00:00,2025-09-21T09:45:00+00:00,"Titre: Visite guidée des Grands Dépôts des Archives nationales pour le public famille (enfants de 7 à 15 ans accompagnés de leurs parents)
Lieu: Paris (Paris)
Date: du 2025-09-21T08:30:00+00:00 au 2025-09-21T09:45:00+00:00
Description: Découverte des galeries prestigieuses des Grands Dépôts des Archives nationales adaptée aux plus jeunes accompagnés de leurs parents."
81848750,Atelier famille de découverte de la construction,Atelier ludique,"<p>Durant la visite, les enfants découvrent les différents métiers qui interviennent sur un chantier de construction au Moyen-Âge. Puis, ils réaliseront une construction (arche, maison…) en playmaïs durant l’atelier.</p>",Paris,Paris,75003,2025-09-20T08:30:00+00:00,2025-09-21T09:30:00+00:00,"Titre: Atelier famille de découverte de la construction
Lieu: Paris (Paris)
Date: du 2025-09-20T08:30:00+00:00 au 2025-09-21T09:30:00+00:00
Description: Durant la visite, les enfants découvrent les différents métiers qui interviennent sur un chantier de construction au Moyen-Âge. Puis, ils réaliseront une construction (arche, maison…) en playmaïs durant l’atelier."
26128662,"""À livres ouverts, trois lucioles entre les pages !"" Lectures jeune public et familles",Atelier lecture,"<p>Des albums jeunesse à découvrir avec une lectrice malicieuse pour voyager en Asie entre les images et les mots, sur le thème de la maison japonaise.<br>Des surprises et des trésors à chaque page !</p>",Paris,Paris,75016,2025-09-21T13:00:00+00:00,2025-09-21T15:00:00+00:00,"Titre: ""À livres ouverts, trois lucioles entre les pages !"" Lectures jeune public et familles
Lieu: Paris (Paris)
Date: du 2025-09-21T13:00:00+00:00 au 2025-09-21T15:00:00+00:00
Description: Des albums jeunesse à découvrir avec une lectrice malicieuse pour voyager en Asie entre les images et les mots, sur le thème de la maison japonaise.
Des surprises et des trésors à chaque page !"
90699668,Visite libre de la Rue Hospitalière,"A l'occasion de ses 25 ans, l'Hôpital européen Georges-Pompidou vous propose de découvrir librement une exposition autour de l'histoire de l'hôpital et des innovations scientifiques portées par les …","<p>A l'occasion de ses 25 ans, l'Hôpital européen Georges-Pompidou vous propose de découvrir librement la Rue Hospitalière, bijou architectural d'A.Zublena.<br>Egalement en avant-première une exposition autour de l'histoire de l'hôpital et des innovations scientifiques portées par les équipes.<br>L'exposition se tient sur les vitres de l'entrée de l'hôpital en face de l'accueil et restera visible jusqu'au 31 décembre 2025.</p>",Paris,Paris,75015,2025-09-19T07:00:00+00:00,2025-09-20T15:00:00+00:00,"Titre: Visite libre de la Rue Hospitalière
Lieu: Paris (Paris)
Date: du 2025-09-19T07:00:00+00:00 au 2025-09-20T15:00:00+00:00
Description: A l'occasion de ses 25 ans, l'Hôpital européen Georges-Pompidou vous propose de découvrir librement la Rue Hospitalière, bijou architectural d'A.Zublena.
Egalement en avant-première une exposition autour de l'histoire de l'hôpital et des innovations scientifiques portées par les équipes.
L'exposition se tient sur les vitres de l'entrée de l'hôpital en face de l'accueil et restera visible jusqu'au 31 décembre 2025."
16978824,Visite guidée de l'hôtel MGallery Paris Bastille Boutet,Visite commentée de l'hôtel,<p>Visite guidée de l'hôtel et présentation de son histoire.</p>,Paris,Paris,75011,2025-09-20T08:30:00+00:00,2025-09-21T14:30:00+00:00,"Titre: Visite guidée de l'hôtel MGallery Paris Bastille Boutet
Lieu: Paris (Paris)
Date: du 2025-09-20T08:30:00+00:00 au 2025-09-21T14:30:00+00:00
Description: Visite guidée de l'hôtel et présentation de son histoire."
